number,name,type,shape,direction,decoration
1,~,passive,line,left,female
2,~,passive,line,right,female
3,~,passive,line,left,female
4,~,passive,line,right,female
5,~,passive,line,left,female
6,~,passive,line,right,female
7,~,passive,line,left,female
8,~,passive,line,right,female
9,~,passive,line,left,female
10,~,passive,line,right,female
11,~,passive,line,left,female
12,~,passive,line,right,female
13,~,passive,line,left,female
14,~,passive,line,right,female
15,~,passive,line,left,female
16,~,passive,line,right,female
17,~,passive,line,left,female
18,~,passive,line,right,female
19,~,passive,line,left,female
20,~,passive,line,right,female
21,~,passive,line,left,female
22,~,passive,line,right,female
23,~,passive,line,left,female
24,~,passive,line,right,female
25,~,passive,line,left,female
26,~,passive,line,right,female
27,~,passive,line,left,female
28,~,passive,line,right,female
29,~,passive,line,left,female
30,~,passive,line,right,female
31,~,passive,line,left,female
32,~,passive,line,right,female
33,~,passive,line,left,female
34,~,passive,line,right,female
