number,name,type,shape,direction,decoration
1,~,passive,line,left,male
2,~,passive,line,right,male
3,~,passive,line,left,male
4,~,passive,line,right,male
5,~,passive,line,left,male
6,~,passive,line,right,male
7,~,passive,line,left,male
8,~,passive,line,right,male
9,~,passive,line,left,male
10,~,passive,line,right,male
11,~,passive,line,left,male
12,~,passive,line,right,male
13,~,passive,line,left,male
14,~,passive,line,right,male
15,~,passive,line,left,male
16,~,passive,line,right,male
17,~,passive,line,left,male
18,~,passive,line,right,male
19,~,passive,line,left,male
20,~,passive,line,right,male
21,~,passive,line,left,male
22,~,passive,line,right,male
23,~,passive,line,left,male
24,~,passive,line,right,male
25,~,passive,line,left,male
26,~,passive,line,right,male
